record_type,commercial_item_code,configuration_code,amount,currency_code,price_date,source_code,source_page,source_section,source_text,normalization_notes
commercial_mapping,sandero_rear_view_camera_option,sandero_iii_expression_tce100_manual,700,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,Kamera cofania — 700 zł,Exact Expression applicability; no projection to Essential.
commercial_mapping,sandero_rear_view_camera_option,sandero_iii_expression_ecog120_automatic,700,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,Kamera cofania — 700 zł,Exact Expression applicability for the automatic configuration.
commercial_mapping,sandero_media_nav_live_option,sandero_iii_expression_tce100_manual,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,Nowy Media Nav Live — 1600 zł,Exact Sandero Expression applicability.
commercial_mapping,sandero_media_nav_live_option,sandero_iii_expression_ecog120_automatic,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,Nowy Media Nav Live — 1600 zł,Exact Sandero Expression automatic applicability.
commercial_mapping,sandero_media_nav_live_option,sandero_stepway_iii_expression_tce110_manual,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,Nowy Media Nav Live — 1600 zł,Exact Stepway Expression applicability.
commercial_mapping,sandero_glass_sunroof_option,sandero_stepway_iii_extreme_tce110_manual,2200,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,"Elektrycznie otwierany, szklany dach — 2200 zł",Exact Stepway Extreme applicability.
commercial_mapping,sandero_comfort_auto_package,sandero_iii_expression_ecog120_automatic,2000,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET COMFORT AUTO — 2000 zł,Exact Eco-G 120 automatic Expression applicability.
commercial_mapping,sandero_thermo_package,sandero_iii_expression_tce100_manual,1900,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET THERMO — 1900 zł,Exact Expression applicability.
commercial_mapping,sandero_thermo_package,sandero_iii_expression_ecog120_automatic,1900,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET THERMO — 1900 zł,Exact Expression automatic applicability.
commercial_mapping,sandero_thermo_package,sandero_stepway_iii_expression_tce110_manual,1900,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET THERMO — 1900 zł,Exact Stepway Expression applicability.
commercial_mapping,sandero_winter_package,sandero_iii_journey_tce100_manual,1200,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET WINTER — 1200 zł,Exact Journey applicability.
commercial_mapping,sandero_winter_package,sandero_iii_journey_ecog120_automatic,1200,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET WINTER — 1200 zł,Exact Journey automatic applicability.
commercial_mapping,sandero_winter_package,sandero_stepway_iii_extreme_tce110_manual,1200,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET WINTER — 1200 zł,Exact Stepway Extreme applicability.
commercial_mapping,sandero_media_nav_live_package,sandero_iii_journey_tce100_manual,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET MEDIA NAV LIVE — 1600 zł,Exact Journey applicability.
commercial_mapping,sandero_media_nav_live_package,sandero_iii_journey_ecog120_automatic,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET MEDIA NAV LIVE — 1600 zł,Exact Journey automatic applicability.
commercial_mapping,sandero_media_nav_live_package,sandero_stepway_iii_extreme_tce110_manual,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET MEDIA NAV LIVE — 1600 zł,Exact Stepway Extreme applicability.
commercial_mapping,sandero_easy_package,sandero_iii_journey_tce100_manual,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET EASY — 1600 zł,Exact Journey applicability.
commercial_mapping,sandero_easy_package,sandero_iii_journey_ecog120_automatic,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET EASY — 1600 zł,Exact Journey automatic applicability.
commercial_mapping,sandero_easy_package,sandero_stepway_iii_extreme_tce110_manual,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,3,Opcje i pakiety,PAKIET EASY — 1600 zł,Exact Stepway Extreme applicability.
